Row,Name,Description,Category,Effects,Type,Range,Damage,Duration,Drain,Source,Grouping
181,Makeover,"Makeover allows the spellcaster to grant a `makeover` to voluntary subject that mystically alters cosmetics, hair color and style, and nails. These changes are magical in nature and do not depend upon the caster`s knowledge of grooming or fashion. The effects of the makeover are as permanent as those made physically in a beauty salon. Each hit scored by the caster measures the degree of style and skill in the makeover.",Manipulation,Physical,Physical,T,,P,F-3,SR5:SG,NULL
182,Mist,"Mist creates a thick fog that blankets the entire area of effect. The mist is dense and difficult to see through, imposing a visibility modifier equal to the hits scored by the caster. The mist dissipates quickly based on the surrounding temperature and winds. Generally speaking, this means the vision modifier is reduced by 1 per Combat Turn, though gamemasters may make this reduction slower in cool, damp areas and faster in hot, dry areas.",Manipulation,"Environmental, Area",Physical,LOS(A),,I,F-3,SR5:SG,NULL
183,"Offensive Mana Barrier","Offensive Mana Barrier is an amped-up version of the Mana Barrier spell (p. 294, SR5). It allows the spellcaster create a mana barrier that `zaps` any spirits, dual beings, or astral forms that come into contact with it. The barrier inflicts Physical damage equal to its Force. Otherwise, Offensive Mana Barrier functions the same as Mana Barrier.",Manipulation,"Environmental, Area",Mana,LOS(A),,S,F+3,SR5:SG,NULL
184,Preserve,"Preserve allows the spellcaster to keep inert organic matter from drying out, decaying, or putrefying. It can be used on such mundane things as food and drink, but it is most often used by forensic spellcasters to protect cadavers from decay before autopsy, or to preserve small organic samples (hair, skin) taken from a crime scene for use as a material link (p. 296, SR5). The amount of time the material stays fresh and preserved is determined by the Spellcasting hits; multiply the number of hits + 1 by the time matter would normally stay fresh to determine how long it lasts. For example, 4 hits would preserve a substance for 5 times as long as it would normally last.",Manipulation,"Physical, Area",Physical,T,,I,F-3,SR5:SG,NULL
185,"Protect Vehicle","A wily magician knows how to protect her getaway vehicle from rival spellcasters. Protect Vehicle casts a protective barrier over a targeted vehicle. The caster must beat the surface`s Object Resistance threshold (p. 295, SR5) in order to create the mystical bond between the caster and the vehicle. Each net hit scored by the caster then increases the vehicle`s Object Resistance Test by 1. In addition, for the duration of the spell, the caster may share her Spell Defense with the entire vehicle and its occupants. Note that only one target within the vehicle, or the vehicle itself, may utilize said Spell Defense during a single Combat Turn.",Manipulation,"Physical, Area",Physical,T,,S,F-1,SR5:SG,NULL
186,Pulse,"Pulse sends out a brief, highly charged burst of electromagnetic energy, emanating from the spellcaster, that plays havoc with electrical systems. This spell erases standard RFID tags and may affect other non-optical and non-hardened electronic circuit systems within the range of the spell. Most modern electronics are optical-based, but they still have some electronic components that this spell can effect. It also can affect some archaic devices and power systems. All such devices within the spell`s range, no matter who owns them, are affected.  The caster must beat the item`s Object Resistance Test (p. 295, SR5) to affect it with Pulse. Affected systems may suffer data loss, power outages, or burn out entirely at the gamemaster`s discretion. The number of net hits scored by the caster determines the level of disruption of the systems within the range of the Pulse. In addition, Pulse also disrupts wireless reception and radio communication for a brief instant.",Manipulation,"Environmental, Area",Physical,LOS(A),,I,F+3,SR5:SG,NULL
187,Reinforce,"Reinforce allows the spellcaster to increase the structural integrity of an object no larger than caster`s Magic in square meters. Each hit scored by the caster increases both the Armor and Structure rating by 1 as long as the spell is sustained.",Manipulation,Physical,Physical,LOS,,S,F-1,SR5:SG,NULL
188,"Slow Vehicle","Slow Vehicle is a dangerous spell that magicians use as a last report when an enemy is getting away and there isn`t any way to stop them. Should the caster achieve enough hits to beat the vehicle`s Object Resistance Test (p. 295, SR5), she may physically absorb excess kinetic energy causing a decrease in relative speed. For every net hit scored, the caster may decrease the Speed Attribute for the targeted vehicle by one. This spell can be quite effective in slowing a target down during a chase. If the driver is unfamiliar with the effects of this spell, the gamemaster may require a Stunt action to keep the vehicle steady (p. 204, SR5).",Manipulation,Physical,Physical,LOS,,S,F+1,SR5:SG,NULL
189,"Shape [Material]","Shape [Material] allows the spellcaster to move and shape a volume of a specified inorganic element or material (air, earth, water, fire, mud, lava, plasteel, concrete, tar, etc.) within range of the spell. First, the caster must beat the material`sÂ Object ResistanceÂ Test and then mentally command it to his whims. The material can be moved and reshaped in any way the caster desires at a maximum Movement Rate of (net hits) meters per turn. Loose material can be moved and re-shaped easily, but material that is connected or reinforced (such as walls or other material part of a structure) must be broken apart by reducing its Structure Rating by Force points per Combat Turn. This spell allows the caster to rapidly dig holes, redirect streams, fill balloons, create a path through a fire, construct a barricade, or create a doorway where one didn`t exist before.  Each element/material requires a separate spell such as Shape Sand, Shape Ice, Shape Wood, Shape Concrete, and so on. Elements or materials reshaped by the caster remain frozen in that form when the spell ends. If that form cannot be supported by the material, it will collapse into rumble. The material/element can also be spread out, extinguished, or evaporated. For example, a fire could be extinguished by reducing the Power by the caster`s Spellcasting hits each turn.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-2,SR5:SG,NULL
190,Shapechange,"Shapechange transforms a voluntary subject into a normal (non-paranormal) critter, though the subject retains human consciousness. The subject can only assume the form of a critter whose base Body Rating is 2 points greater or less than her own. Consult the Critters section, (p. 392, SR5) for the subject`s Physical attributes while in critter form. The caster may increase any base critter Physical Attribute one point for each net hit scored. Her Mental attributes remain unchanged.  This spell does not transform clothing and equipment. Magicians in critter form can still cast spells but cannot perform tasks requiring speech. The subject may not turn into a swarm.  Critter form works like the Shapechange spell but only allows the subject to change into a specific non-paranormal animal. Each critter form is a different spell (dog form, shark Form, and so on).",Manipulation,Physical,Physical,LOS,,S,F-3,SR5:SG,NULL
191,"[Critter] Form","Shapechange transforms a voluntary subject into a normal (non-paranormal) critter, though the subject retains human consciousness. The subject can only assume the form of a critter whose base Body Rating is 2 points greater or less than her own. Consult the Critters section, (p. 392, SR5) for the subject`s Physical attributes while in critter form. The caster may increase any base critter Physical Attribute one point for each net hit scored. Her Mental attributes remain unchanged.  This spell does not transform clothing and equipment. Magicians in critter form can still cast spells but cannot perform tasks requiring speech. The subject may not turn into a swarm.  Critter form works like the Shapechange spell but only allows the subject to change into a specific non-paranormal animal. Each critter form is a different spell (dog form, shark Form, and so on).",Manipulation,Physical,Physical,LOS,,S,F-4,SR5:SG,NULL
192,"Spirit Barrier","This is modified version of the Mana Barrier spell (p. 294, SR5) designed to work again spirits and spirit powers. When cast on the physical plane, Spirit Zapper impedes materialized spirits. It has no effect on spells, foci, or non-spirit dual beings and astral forms.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
193,"Spirit Zapper","This is modified version of the Mana Barrier spell (p. 294, SR5) designed to work again spirits and spirit powers. When cast on the physical plane, Spirit Zapper impedes materialized spirits. It has no effect on spells, foci, or non-spirit dual beings and astral forms.",Manipulation,"Environmental, Area",Physical,LOS(A),,S,F+1,SR5:SG,NULL
194,Sterilize,"This spell allows a spellcaster to kill all bacteria (and other microorganisms) and destroy organic material such as skin flakes, stray hairs, and spilled blood. Material affected by this spell cannot be used as a material link. Because the spell does not affect biomaterial attached to a living being, it does not kill the various helpful and harmful microorganisms living inside a creature. Each hit scored by the caster inflicts a -1 dice pool modifier to any skill tests made to collect and use sterilized biomaterial for forensics or material link purposes. Shadowrunners often employ this spell to eliminate incriminating trace evidence, especially if blood has been spilled. The area sterilized equals the caster`s Magic Rating in cubic meters.",Manipulation,"Physical, Area",Physical,LOS(A),,I,F-3,SR5:SG,NULL
195,"Turn to Goo","Turn to Goo allows a spellcaster to transform living tissue into a sticky, glue-like substance. The caster must win an Opposed Test pitting her Magic + Spellcasting against the target`s Body (+ Counterspelling). Additionally, the spell`s Force must equal or exceed the target`s Body. Non-living material - including clothing, gear, and cyberware - are not affected.  The target is not conscious while under the effects of this spell, and any damage suffered by the gooey form affects the target normally. The goo has a barrier Armor Rating equal to the Body + net hits (see Barriers, p. 364, SR5). Cyberware remains still, as though frozen in amber. If removed, the target may suffer significant physical damage (depending on what is removed) as determined by the gamemaster.",Manipulation,Physical,Physical,LOS,,S,F+3,SR5:SG,NULL
196,Catch,"This is something like Fling, but in the other direction. This spell allows you to quickly yank one individual unattended object (up to Force in kilos) into your hand. The maximum range is your Magic in meters. It is exceptionally useful for retrieving a dropped gun or a thrown weapon. Or winning the egg toss.",Manipulation,Manipulation,Physical,LOS,,I,F-2,SR5:HT,NULL
197,"Conceal Scent","This spell removes scent traces from an object and is a favorite of smugglers looking to fool man`s best friend or individuals trying to slip explosives past security checkpoints. Any scent-based Perception Tests take a dice pool penalty equal to the hits scored on this spell.",Manipulation,"Object, Manipulation",Physical,Touch,,S,F-3,SR5:HT,NULL
198,Snakeblood,"This spell coats your body with a bubble of cool air, concealing your body heat from detection by thermographic vision or sensors. Heat-based Perception Tests suffer a negative dice pool modifer equal to the hits scored on this spell.",Manipulation,Manipulation,Physical,Touch,,S,F-2,SR5:HT,NULL
199,"Recharge Potency","This spell allows a mage to recharge an alchemical preparation whose Potency is waning. Make a Spellcasting + Magic [Force] opposed by the Force at which the alchemical preparation was created. Each net hit is restores a point of Potency to the preparation, up to the original Potency - 1. This spell cannot be cast on any preparation more than once.",Manipulation,Manipulation,Mana,Touch,,P,F+1,SR5:HT,NULL
200,Chill,"These spells reduce the air temperature around the target to the point it limits their ability to move as frostbite begins to set in, stiffening their joints, making them shiver, and temporarily inhibiting their ability to breathe. The target suffers Stun damage per normal Direct Combat spell resolution and reduces their initiative score by one per net hit, with a maximum reduction of 5.",Combat,Direct,Physical,LOS,S,I,F-1,SR5:SSp,NULL
201,Frigid,"These spells reduce the air temperature around the target to the point it limits their ability to move as frostbite begins to set in, stiffening their joints, making them shiver, and temporarily inhibiting their ability to breathe. The target suffers Stun damage per normal Direct Combat spell resolution and reduces their initiative score by one per net hit, with a maximum reduction of 5.",Combat,Direct,Physical,LOS(A),S,I,F+1,SR5:SSp,NULL
202,"Flame Burst","A spell for the desperate or uncaring, Flame Burst sends sheets of flame from the caster, damaging everything within its area of effect, animate or inanimate, friend or foe. The spell sends a pulse of flame in a single direction with the caster’s first action once every Combat Turn as long as it is sustained, without damaging its point of origin (the caster). Everything else in its path, though, is damaged.",Combat,"Direct, Elemental",Physical,S(A),P,S,F+1,SR5:SSp,NULL
203,Magebolt,"This spell harnesses destructive magical energy and damages a living Awakened target or spirit through release of energy inside of the target. The spell only affects creatures that are Awakened or dual natured. If cast at a non-Awakened target, the caster must resist Drain as normal, though the target is unaffected, as are any physical non-living possessions.",Combat,Direct,Physical,LOS,P,I,F-4,SR5:SSp,NULL
204,"[Element] Grenade","This family of spells was created to allow spellcasters to assist their team members clearing buildings during military operations. Currently it is generally used by mages with corporate or military connections, though it’s starting to be used by shadowrunners as well. The family of spells functions the same, but each element counts as a separate spell. The currently available variants are: acid, cold, electricity, fire, pollution, radiation, and water. The spell creates a solid ball of energy roughly the size of a grapefruit in the caster’s hands. The spell then launches from the caster as a grenade launcher (p. 182, SR5) without a minimum range. The ball is affected by physical barriers and can bounce off solid surfaces and around corners. The spellcaster must make a Magic + [Tradition Attribute] (3) Test to see how close the spell grenade lands to its target, where Tradition Attribute is the Attribute used along with Willpower to resist Drain. This test takes the place of the Throwing Weapons + Agility Test used for grenades (see Grenades, p. 181, SR5). Scatter should also be determined as it is with grenades (p. 182, SR5). The grenade spell explodes when the caster uses a Simple Action to detonate it or the combat turn ends, whichever happens first. The rules for blasts against barriers (p.183, SR5) apply to the spell’s effects, along with the previously mentioned elemental effects.",Combat,"Indirect, Elemental",Physical,T,P,I,F-1,SR5:SSp,NULL
205,Sunbeam,"Developed under contract with the Kingdom of Benin by Mitsuhama, Sunbeam was intended to give spellcasters an advantage against HMHVV-Infected invaders or infiltrators from Asamando. The spell creates an instantaneous beam of sunlight directed at the target. Intended to take advantage of ghouls’ vulnerability to sunlight, it has proven effective against other sufferers of the virus. The spell is not very useful against targets without any Allergy to sunlight; it does half the normal damage (rounded up) as Stun damage. Damage resolution is handled as explained in Indirect Combat Spells (p. 283, SR5). Against targets who have the Allergy (sunlight) weakness, however, the spell’s Damage Value is increased to twice what it normally is, and it always inflicts Physical damage regardless of the target’s armor value. All targets must deal with the bright glare of the spell; any target hit by the spell (whether it does damage or not) receives a –1 dice pool penalty to their next attack due to glare (flare compensation of any kind removes this penalty).",Combat,Indirect,Physical,LOS,P,I,F-1,SR5:SSp,NULL
206,Passenger,"This variant of the Borrow Sense Spell (p. 102, Street Grimoire) enables the caster to borrow all of the senses from the chosen target.",Detection,"Passive, Psychic",Mana,LOS,,I,F-1,SR5:SSp,NULL
207,"Recorded Room","This spell makes a visual image of a room, including any details not readily visible to an observer’s perspective, such as a chair behind a desk. It also copies any readily visible electronic displays or printed material. If something is obscured by another object, like a piece of paper partially covered by a book, only the readily visible characters are recorded. As a Complex Action, the caster can alter their perspective and observe any details (Detection Spell Results, p. 286, SR5) within the room while sustaining the spell.",Detection,"Passive, Area",Physical,LOS(A),,S,F,SR5:SSp,NULL
208,"Secret Handshake","This spell is popular with spellcasters of clandestine organizations. It allows them to make rendezvous without electronic signals or records for mundane investigators to sift through. The spell detects other versions of itself, but only if they are from the same spell formula. Each formula is specific enough to be invisible to a practitioner using a different formula of the spell.",Detection,"Active, Area",Mana,T,,S,F-4,SR5:SSp,NULL
209,Broadcast,"These spells function in a similar manner as Mindlink, allowing the target to communicate with all intelligent beings within range. The communication is one-way only, primarily intended to issue commands to subordinates, rather than act as a tactical communications system. Everyone within the area of effect receives the message, although targets can attempt to resist by using Willpower, as if it were a Direct Combat spell (p. 283, SR5).",Detection,"Active, Area",Mana,T,,S,F+1,SR5:SSp,NULL
210,Sending,"These spells function in a similar manner as Mindlink, allowing the target to communicate with all intelligent beings within range. The communication is one-way only, primarily intended to issue commands to subordinates, rather than act as a tactical communications system. Everyone within the area of effect receives the message, although targets can attempt to resist by using Willpower, as if it were a Direct Combat spell (p. 283, SR5).",Detection,"Active, Extended, Area",Mana,T,,S,F+2,SR5:SSp,NULL
211,"[Sense] Link","This variation of the Mindlink spell allows the caster to use one of the target’s senses. Each variant of the spell links to a different sense (e.g., Vision Link, Thermographic Vision Link, Astral Perception Link), depending on the spell’s formula.",Detection,"Passive, Physic",Mana,T,,S,F-2,SR5:SSp,NULL
212,"Convert Blood to Ichor","This spell converts the target’s blood to inorganic liquid, causing physical damage to the target as their organs stop receiving nutrients and oxygen. The spell causes (Force)P damage on the first Combat Turn, (Force – 1)P damage the second Combat Turn, and continues to decrease by one in each subsequent Combat Turn until it reaches zero. Each time damage is inflicted, the subject resists with a Body + Counterspelling Test. The damage occurs immediately before the subject’s first action each Combat Turn.",Health,"Essence, Negative",Physical,T,,I,F,SR5:SSp,NULL
213,Decontamination,"This spell is used to reduce the effects of radiation poisoning on a patient due to radiation contamination. The character receives additional dice to their Radiation Resistance Test (p. 18) equal to the spell’s net hits. It does not repair any existing radiation damage; that requires a separate Heal spell (p. 288, SR5).",Health,,Mana,T,,P,F-4,SR5:SSp,NULL
214,Dehydrate,"The spell’s subject suffers from nausea and disorientation (p. 409, SR5) while the spell is sustained (unless the spell is resisted).",Health,Negative,Physical,T,,S,F-4,SR5:SSp,NULL
215,"Ghoulish Strength","Ghoulish Strength was developed by unknown sources and taught to three ghoul shamans in the Boston sprawl. It is believed the same group that created it has disseminated it to the other ghoul packs. The spell only affects sufferers of the HMHVV virus. The spell increases the Strength of the subject by one for each net hit, to their augmented maximum.",Health,Essence,Physical,T,,S,F-4,SR5:SSp,NULL
216,"Healthy Glow","Healthy Glow is a popular spell with the well-to-do, or those who want to appear well-to-do. This spell improves the appearance of the subject by improving their circulation, brightening their appearance and improving their general health. The effect is permanent but can be marred through hard living and natural aging. Hits on the Spellcasting Test [limited by Force] determine how well the subject is cleaned up. The spell has two effects—increasing the Social limit of the target, and providing a modifier to First Aid or Medicine Tests (per Healing Modifiers, p. 208, SR5 or modifiers to Health spells, p. 287, SR5). The Social limit increases by 1 for every two hits (rounded up) on the Spellcasting Test, while the Healing Modifier is 1 for every 3 hits on the Spellcasting Test (rounded up). These effects last for 24 hours; after that, the health effects vanish, and people adjust to the new appearance, so the increased Social limit disappears as well.",Health,,Physical,T,,P,F-2,SR5:SSp,NULL
217,Hydrate,"This spell rehydrates a subject, limiting the effect of prolonged exposure to the elements. Each hit on the Spellcasting Test reduces Fatigue damage (p. 172, SR5) due to dehydration by 1. It also counters the Dehydrate spell (p. 18).",Health,,Physical,T,,P,F-4,SR5:SSp,NULL
218,"Inflict Disease","One of the reasons to never jilt an Awakened lover, this spell infects the subject with a disease like VITAS—or like one of the more personal, socially harder-to-explain ones. The Force of the spell becomes the Power of the disease. The spell cannot inflict a disease that is magically based, like HMHVV. Net successes do not affect the Power of the disease; the successes are solely used to determine if the target is inflicted with the disease or not. After the Spell Resistance Test, the subject must make a Disease Resistance Test (Body + protective systems rating). If the Resistance Test does not reduce the Power to zero, the subject starts showing symptoms the following Combat Turn (symptoms depend on the disease inflicted on the target; see the Sample Diseases table for examples). Resistance Tests continue to be made each Combat Turn until the Power is reduced to zero.",Health,"Negative, Essence",Mana,T,,P,F-3,SR5:SSp,NULL
219,Nauseate,"The target suffers from Nausea (p. 409, SR5) if they fail to resist. The target takes no damage but is incapacitated due to vomiting and dizziness for 1 Combat Turn for each net hit.",Health,Negative,Mana,T,,I,F-2,SR5:SSp,NULL
220,"Alleviate Nausea","The spell relieves the effect of Nausea (p. 409, SR5) on the target. Each net hit reduces the duration of the Nausea by 1 Combat Turn. In addition, while the spell is maintained wound effects are not doubled. The effect of Nausea returns at full force once the spell is no longer sustained (as long as the force causing the Nausea remains in effect).",Health,,Mana,T,,S,F-4,SR5:SSp,NULL
221,"Personal Warmth","Personal Warmth maintains the body temperature of one or more metahumans at healthy levels. The number of metahumans covered is equal to the number of net hits [limited by Force] achieved with Spellcasting Test. The recipients must be in the caster’s line of sight for the spell to affect them when it is cast, but they do not need to remain there while the spell is sustained. The spell does not offer a defense against cold-based attacks.",Health,,Mana,LOS,,S,F-4,SR5:SSp,NULL
222,Rot,"Rot is a spell preferred by casters who want their opponents to suffer horribly as they die. The UCAS military requires all members who learn this spell to undergo regular psychological screening as a precaution against it being misused. The spell kills flesh in a localized area of the target’s body. If the caster gets at least 2 net successes after the target’s Resistance Test, the caster kills the flesh near the contact point. With 2 or 3 net successes, the caster can destroy a hand or foot. With 4 or more net successes, the caster can destroy an entire limb. If the torso is touched, the effect kills internal organs; with 2 or 3 successes a single organ is destroyed, with 4 or more successes multiple organs are destroyed. For each organ destroyed, the target’s Body is reduced by 1. Unless the spell does enough damage to kill the target (that is, reducing Body to 0), life-sustaining organs (brain, heart etc.) cannot be selected for destruction. The damage from this spell requires treatment from a medical facility to deal with the dead tissue. The Heal spell cannot repair damage caused by this spell.",Health,"Essence, Negative",Physical,T,,I,F,SR5:SSp,NULL
223,"Vampiric Speed","A new favorite for those afflicted with HMHVV, Vampiric Speed centers itself on the caster, increasing the speed of any HMHVV-infected beings within its radius. The spell increases the walking and running movement rate of the infected by one meter per hit. Additionally, the speed boost increases their Initiative Score by +1 per hit (without directly increasing the Reaction or Intuition attribute).",Health,Essence,Physical,S(A),,S,F-2,SR5:SSp,NULL
224,"False Impression","This spell is designed to pass illusions to the target’s",Illusion,,Mana,LOS,,S,F-4,SR5:SSp,NULL
225,Manascape,"This spell is designed to pass illusions to the target’s",Illusion,,Mana,LOS(A),,S,F-2,SR5:SSp,NULL
226,"Vampiric Stealth","Knowledge of this spell is primarily based on speculation developed from astral forensic observation and a partial spell formulae recovered by a Knight Errant task force. This spell affects the ability of the caster to move unseen about the Sixth World. The caster must suffer from HMHVV for the spell to have any effect. The spell provides the caster a dice pool modifier to Sneaking Tests equal to the Spellcasting Test hits (maximum 5).",Illusion,,Mana,S,,S,F-3,SR5:SSp,NULL
227,"Air Filter","This spell allows the subject to breathe while buried or while underwater. The subject can breathe normally for ten minutes per Spellcasting Test hit. The duration is halved in the subject is buried in wet sand or mud.",Manipulation,Physical,Mana,LOS,,S,F-6,SR5:SSp,NULL
228,"Alter Memory","This spell allows the caster to alter a single memory of the target, including the addition or subtraction of a memory. The net hits scored by the caster determine the quality and the complexity of an implanted memory. Every [Force] months, or anytime the character is presented with evidence the memory is false, or has been removed, the subject may attempt a Willpower Test. Each hit reduces the hits on the caster’s original Spellcasting Test. When the total reaches 0, the spell no longer has any effect. The original memories are restored, and the false ones revealed.",Manipulation,Mental,Mana,LOS,,P,F+1,SR5:SSp,NULL
229,"Alter Temperatre","Alter Temperature changes the ambient temperature in",Manipulation,Physical,Physical,LOS(A),,S,F-3,SR5:SSp,NULL
230,"Astral Armor","This spell is an Armor spell for the astral plane (p. 292, SR5). Each hit provides 1 point of armor against astral combat attacks. It only works in astral space.",Manipulation,Mental,Mana,LOS,,S,F-2,SR5:SSp,NULL
231,"Control Emotions","Control Emotion instills a strong emotion of the caster’s choice into the target, such as love, hate, rage or despair. The subject feels the emotion wholeheartedly, and it affects their physical performance in a manner consistent with the emotion, conducting actions opposed to the emotion invoke a –2 dice pool penalty. For example, subjects feeling rage engaging in combat suffer no penalties, whereas if the subject were attempting negotiations the negative modifier would apply. Mob Mood affects all subjects in the defined area with the same emotion.",Manipulation,Mental,Mana,LOS,,S,F-1,SR5:SSp,NULL
232,"Mob Mood","Control Emotion instills a strong emotion of the caster’s choice into the target, such as love, hate, rage or despair. The subject feels the emotion wholeheartedly, and it affects their physical performance in a manner consistent with the emotion, conducting actions opposed to the emotion invoke a –2 dice pool penalty. For example, subjects feeling rage engaging in combat suffer no penalties, whereas if the subject were attempting negotiations the negative modifier would apply. Mob Mood affects all subjects in the defined area with the same emotion.",Manipulation,Mental,Mana,LOS(A),,S,F+1,SR5:SSp,NULL
233,Evaporate,"This spell removes heat loss due to sweat, reducing the threat of exposure in arctic climes. The subject must be within the caster’s line of sight when the spell is cast but may move outside of it while the spell is sustained. The spell provides a +1 dice pool modifier to Survival Tests in arctic environments.",Manipulation,Physical,Mana,LOS,,S,F-4,SR5:SSp,NULL
234,"Looking Glass","The spell allows the caster to change the properties of material to allow light to pass through it. The spell affects a number of cubic meters of material equal to the net hits of the Spellcasting Test. The net hits must also exceed the material’s structure rating from the Barrier Rating Table (p. 196, SR5) for the spell to take effect. An object affected by the Looking Glass spell allows Line of Sight to objects or persons on the other side.",Manipulation,Physical,Physical,T,,S,F-3,SR5:SSp,NULL
235,Insulate,"This spell creates and maintains an area of air equal in radius to the spell’s Force that maintains a metahuman’s body temperature (if an exact temperature is needed, use the caster’s as a guide). Objects can pass into and out of the spell’s effect without being inhibited. The temperature of objects is not changed, only the caster’s ability to touch and interact with those objects. The spell must be cast on an area, not an individual, and the area of effect cannot move. The ability of the spell to insulate an area is limited to objects within 20 degrees Celsius of metahuman norms.",Manipulation,"Physical, Environmental",Physical,LOS(A),,S,F-2,SR5:SSp,NULL
236,"Napalm Wall","This spell is a variant of the [Element] Wall spell (p. 115, Street Grimoire), combining elements of fire and water to create a rippling wall of burning water. The wall causes both fire (p. 171, SR5) and water (p. 105, Street Grimoire) damage. The spell causes physical damage, with the subject’s armor providing protection as normal and any fire-resistant modifications included in the Defense Test (p. 173, SR5).",Manipulation,"Physical, Environmental",Physical,LOS(A),,S,F,SR5:SSp,NULL
237,Petrify,"This spell transforms living tissue into calcium carbonate, or effectively, stone. The spellcaster must succeed in a Spellcasting + Magic [Mental] Opposed Test against the subject’s Body (+ Counterspelling). The spell’s Force must also equal or exceed the subject’s body. The subject is not conscious while under the spell’s effect, and any damage suffered by the stone-like subject translates normally to the appropriate Condition Monitor. While in this form, the subject has a Barrier Armor Rating (p. 197, SR5) equal to their Body + the caster’s net hits when they cast the spell. Non-living material is not affected by the spell, including clothing, cyberware, and carried gear.",Manipulation,Physical,Physical,LOS,,S,F-2,SR5:SSp,NULL
238,Pulse,"Pulse sends a high-power, short-duration burst of electromagnetic energy into a targeted area, disrupting wireless and radio communication for a moment. The burst also erases any standard RFID tags in the affected area and may damage any non-optical based computer systems. While most systems since 2050 have been optical based, there are still a few throwback, unshielded systems in use. Affected systems may suffer data loss, power outages, or a complete systems failure depending on a Defense Test using the applicable Object Resistance Rating (p. 295, SR5). The more net hits by the spellcaster, the greater the damage.",Manipulation,"Physical, Environmental",Physical,LOS(A),,I,F-4,SR5:SSp,NULL
239,"Radiation Shield","Radiation shield creates an aura surrounding the target, intended to reduce damage caused by a radiation hazard. This is generally signified by a glowing field, although some recent spell formulae have removed that visual component. The spell provides radiation shielding (p. 84, Run & Gun) equal to the number of hits scored (limited by Force of the spell). Radiation Barrier creates a dome with the same effect as Radiation shield, protecting everyone inside.",Manipulation,Physical,Physical,LOS,,S,F-4,SR5:SSp,NULL
240,"Radiation Barrier","Radiation shield creates an aura surrounding the target, intended to reduce damage caused by a radiation hazard. This is generally signified by a glowing field, although some recent spell formulae have removed that visual component. The spell provides radiation shielding (p. 84, Run & Gun) equal to the number of hits scored (limited by Force of the spell). Radiation Barrier creates a dome with the same effect as Radiation shield, protecting everyone inside.",Manipulation,Physical,Physical,LOS(A),,S,F-2,SR5:SSp,NULL
