Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
175,"Metatype Reduction (Troll)",1,1,Cyberware,Body,0.3,-,4,"6,000¥","More a series of treatments and surgeries than a single modification, metatype reduction is generally aimed at goblinoids, a.k.a. “the ugly ones,” rather than surgically rebuilding an elf as a human or something. Jawlines are shattered and rebuilt with tusk removal, body hair is lasered off for good, bone deposits and hard plates cut away, and even some delicate work with sweat glands and body oil production to reduce their output and make them more friendly to human noses. Mostly seen in Japanacorps, but there’s a cultural shame-spiral that drives even western goblinoids to the procedure. Orks who undergo the procedure gain the Human- Looking positive quality. Trolls who undertake the procedure have their racial Charisma maximum increased by one. This augmentation cannot be combined with the metaposeur genetic treatment.",NULL,SR5:CF,1,0,0,Charisma:1,
176,"Move-by-Wire R1",1,1,Cyberware,Body,3,-,12F,"40,000¥","While usually considered cutting-edge technology, the move-by-wire system actually predates all other reaction cyberware, being the prototype from which wired reflexes and similar systems were drawn. It was simply too expensive and invasive to the user’s body for widespread use, and the inferior, but more survivable, wired reflexes claimed its glory. Researchers have been struggling with it for decades and still haven’t perfected it, but it’s at least closer to being usable today than ever before. The system works by putting the user’s entire body into a permanent seizure, using electrical impulses to direct those seizures towards an eventual end goal, such as “move here” or “stab that guy.” In many ways, this isn’t unlike a high-end aircraft, where hundreds of computerized micro-corrections are required to keep it flying, only using metahuman flesh and bone instead of high-end carbon and aluminum. Any user under an active system will be affected by constant small twitches and tremors due to the complex interactions of the system, which vanish as soon as the system engages actual movement, returning whenever they are once again still. Move-by-wire is incompatible with any other reaction-enhancing augmentation. Each Rating point of a move-by-wire system adds +1 Reaction and +3 Initiative (making it +4 total to Initiative). Rating 1 move-by-wire does not offer any additional Initiative Dice, but Rating 2 and Rating 3 offer +1D6 Initiative Dice, meaning Rating 2 offers +2 Reaction, +6 Initiative, and +1D6 Initiative Dice, and Rating 3 offers +3 Reaction, +9 Initiative, and +1D6 Initiative Dice. In addition, the move-by-wire system acts as skillwires of twice its Rating, but will require a skilljack to access this functionality. Users of move-by-wire systems suffer a penalty to their Social limit equal to the system’s Rating thanks to their constant twitches and tremors.",NULL,SR5:CF,1,0,0,"Reaction:1,SocialLimit:-1,Initiative:3",
177,"Move-by-Wire R2",2,2,Cyberware,Body,4,-,18F,"125,000¥","While usually considered cutting-edge technology, the move-by-wire system actually predates all other reaction cyberware, being the prototype from which wired reflexes and similar systems were drawn. It was simply too expensive and invasive to the user’s body for widespread use, and the inferior, but more survivable, wired reflexes claimed its glory. Researchers have been struggling with it for decades and still haven’t perfected it, but it’s at least closer to being usable today than ever before. The system works by putting the user’s entire body into a permanent seizure, using electrical impulses to direct those seizures towards an eventual end goal, such as “move here” or “stab that guy.” In many ways, this isn’t unlike a high-end aircraft, where hundreds of computerized micro-corrections are required to keep it flying, only using metahuman flesh and bone instead of high-end carbon and aluminum. Any user under an active system will be affected by constant small twitches and tremors due to the complex interactions of the system, which vanish as soon as the system engages actual movement, returning whenever they are once again still. Move-by-wire is incompatible with any other reaction-enhancing augmentation. Each Rating point of a move-by-wire system adds +1 Reaction and +3 Initiative (making it +4 total to Initiative). Rating 1 move-by-wire does not offer any additional Initiative Dice, but Rating 2 and Rating 3 offer +1D6 Initiative Dice, meaning Rating 2 offers +2 Reaction, +6 Initiative, and +1D6 Initiative Dice, and Rating 3 offers +3 Reaction, +9 Initiative, and +1D6 Initiative Dice. In addition, the move-by-wire system acts as skillwires of twice its Rating, but will require a skilljack to access this functionality. Users of move-by-wire systems suffer a penalty to their Social limit equal to the system’s Rating thanks to their constant twitches and tremors.",NULL,SR5:CF,1,0,0,"Reaction:2,SocialLimit:-2,InitiativeDice:1,Initiative:6",
178,"Move-by-Wire R3",3,3,Cyberware,Body,5,-,24F,"205,000¥","While usually considered cutting-edge technology, the move-by-wire system actually predates all other reaction cyberware, being the prototype from which wired reflexes and similar systems were drawn. It was simply too expensive and invasive to the user’s body for widespread use, and the inferior, but more survivable, wired reflexes claimed its glory. Researchers have been struggling with it for decades and still haven’t perfected it, but it’s at least closer to being usable today than ever before. The system works by putting the user’s entire body into a permanent seizure, using electrical impulses to direct those seizures towards an eventual end goal, such as “move here” or “stab that guy.” In many ways, this isn’t unlike a high-end aircraft, where hundreds of computerized micro-corrections are required to keep it flying, only using metahuman flesh and bone instead of high-end carbon and aluminum. Any user under an active system will be affected by constant small twitches and tremors due to the complex interactions of the system, which vanish as soon as the system engages actual movement, returning whenever they are once again still. Move-by-wire is incompatible with any other reaction-enhancing augmentation. Each Rating point of a move-by-wire system adds +1 Reaction and +3 Initiative (making it +4 total to Initiative). Rating 1 move-by-wire does not offer any additional Initiative Dice, but Rating 2 and Rating 3 offer +1D6 Initiative Dice, meaning Rating 2 offers +2 Reaction, +6 Initiative, and +1D6 Initiative Dice, and Rating 3 offers +3 Reaction, +9 Initiative, and +1D6 Initiative Dice. In addition, the move-by-wire system acts as skillwires of twice its Rating, but will require a skilljack to access this functionality. Users of move-by-wire systems suffer a penalty to their Social limit equal to the system’s Rating thanks to their constant twitches and tremors.",NULL,SR5:CF,1,0,0,"Reaction:3,SocialLimit:-3,InitiativeDice:1,Initiative:9",
179,"Nutrition Storage System",1,1,Cyberware,Body,"Rating x 0.1",[Rating],4,"Rating x 500¥","An onboard reserve of tasteless food paste and water, the former released directly into your stomach, the latter into your mouth and throat. Each Rating point allows for a day’s worth of food and water to be stored. The reservoirs are refilled through an external port and are considered part of the user’s Lifestyle cost. This augmentation is not compatible with the elastic stomach genetech.",NULL,SR5:CF,1,0,1,,
180,"Oxsys Cybergill",1,1,Cyberware,Body,0.25,-,4,"2,000¥","Rather than an implanted air supply, the OXSYS cybergill is a series of implants along the user’s throat and upper respiratory system that allows oxygen to be pulled from water, allowing for an indefinite duration of submersion. The user draws water into their lungs during this procedure, exhaling it as well, and the system includes lung reinforcement and strengthened bellows to allow water to be fully flushed out after emerging from submersion. This process is somewhat discomforting and often loud. While the cybergill allows the user to breathe underwater, it doesn’t make the body immune to the other effects of underwater life, such as nitrogen narcosis. Dedicated users often implant air tanks (p. 455, SR5) with pure helium to manage their body’s levels of nitrogen.",NULL,SR5:CF,1,0,0,,
181,"Retractable Climbing Claws",1,1,Cyberware,Body,0.2,[2],8,"2,000¥","Essentially retractable hand razors, angled for use in climbing rather than combat, these claws are reinforced and hooked, and are most often taken in pairs. Each climbing claw raises the user’s Physical limit for Climbing Tests by +1, while each pair increases the user’s Climb skill by +1. Note that one pair may be taken for the feet as well. If used as weapons, treat as retractable hand razors, but reduce the Physical limit by 1 for the awkwardness of using them in an attack.",NULL,SR5:CF,1,0,1,PhysicalLimit:1,
182,"Skin Toner",1,1,Cyberware,Body,0.5,-,4,"2,000¥","Gently weaving ruthenium polymer into the user’s skin and implanting a dedicated control system to watch over it, skin toner allows the user to select any shade of color for their skin tone. The limited processor requires the entire body to be generally the same color, minus some minor gradients for tanning, flesh density, and so forth. A more advanced processor can be purchased, allowing for chameleon-like abilities for the user’s skin (this acts as a Rating 4 chameleon suit).","The user may change skin color with a Free Action, rather than a Simple Action.",SR5:CF,1,0,0,,
183,"Chameleon Processor",1,1,Cyberware,Body,0.3,[2],12R,"8,000¥",NULL,NULL,SR5:CF,1,0,1,PhysicalLimit:4,
184,"Smart Articulation",1,1,Cyberware,Body,0.5,-,8,"6,000¥","An advanced procedure that replaces the user’s connective tissues, ligaments, and tendons with modern materials and resettable tensile strengths, smart articulation can set users’ bodies for either loose or tight joints, in addition to the standard that a metahuman body expects. When loose, the user’s body is easily contorted, with joints dislodged and pushed into position limited only by the user’s skin, bones, and imagination. The user gains +2 to their Physical limit to Escape Artist and grapple tests, and can further fit through any opening no smaller than their head. When tight, the user’s joints are as unyielding as the long bones they are connected to and equally as inflexible. The user gains +2 Body when comparing to the attacker’s Strength in unarmed combat, and they have their Physical limit increased by 1 for any test involving endurance, such as climbing. Unfortunately, in either loose or tight settings, the user will find themselves with difficulty moving, traveling at half their normal speed. Smart articulation is incompatible with enhanced articulation or cyberlimbs.",NULL,SR5:CF,1,0,0,"PhysicalLimit:2,PhysicalLimit:1",
185,Steamers,1,1,Cyberware,Body,0.1,[1],4,"contents + 500¥","Nothing says cool like hotness. Steamers are small vents with compressed chemical reserves that allow you to vent water vapor at appropriate times. Steamers can be added to any part of the body and hold enough water for five releases. Note that the vapor is just released, not sprayed, giving you little control over where it goes.",NULL,SR5:CF,1,0,1,,
186,"Touch Link",1,1,Cyberware,Body,0.1,-,8,"1,000¥","A simple sensory recording device that records tactile sensation, allowing the experience to be shared or replayed as desired. Combine with a simrig for an astounding experience!",NULL,SR5:CF,1,0,0,,
187,"Obvious Full Arm Right",1,1,Cyberware,Limb,1,15,4,"15,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
188,"Obvious Full Leg Right",1,1,Cyberware,Limb,1,20,4,"15,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
189,"Obvious Foot Left",1,1,Cyberware,Limb,0.25,4,2,"5,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
190,"Obvious Lower Arm Right",1,1,Cyberware,Limb,0.45,10,4,"10,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
191,"Obvious Lower Leg Right",1,1,Cyberware,Limb,0.45,12,4,"10,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
192,"Obvious Torso",1,1,Cyberware,Limb,1.5,10,12,"20,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
193,"Obvious Skull",1,1,Cyberware,Limb,0.75,4,16,"10,000¥","These implants are immediately recognizable as artificial limbs unless you cover them with clothing. They are often chromed or matte colors but visibly mechanical in nature. Some folks like them glaringly obvious and outlandish, some find the artificiality repellant and disturbing. This can affect your social dealings in some circles, especially upper-crust society and the purist crowd.",NULL,Core,1,1,0,PhysicalMax:1,
194,"Synthetic Full Arm Left",1,1,Cyberware,Limb,1,8,4,"20,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
195,"Synthetic Full Leg Left",1,1,Cyberware,Limb,1,10,4,"20,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
196,"Synthetic Hand Left",1,1,Cyberware,Limb,0.25,2,2,"6,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
197,"Synthetic Lower Arm Left",1,1,Cyberware,Limb,0.45,5,4,"12,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
198,"Synthetic Lower Leg Left",1,1,Cyberware,Limb,0.45,6,4,"12,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
199,"Synthetic Torso",1,1,Cyberware,Limb,1.5,5,12,"25,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
200,"Synthetic Skull",1,1,Cyberware,Limb,0.75,2,16,"15,000¥","Synthetic limbs are disguised as natural limbs. The fact that theyâ€™re cybernetic gives them a â€“8 Concealability (the Cybertechnology skill may replace Perception for this test) when someoneâ€™s just looking, but synthetic limbs are obviously artificial to the touch.",NULL,Core,1,1,0,PhysicalMax:1,
201,"Primitive Prosthetic Foot Left",1,1,Cyberware,Limb,-,-,-,20¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
202,"Primitive Prosthetic Partial Leg Left",1,1,Cyberware,Limb,-,-,-,100¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
203,"Primitive Prosthetic Full Arm Left",1,1,Cyberware,Limb,-,-,-,250¥,"While not used by reputable medical corporations these days, the fact remains that SINless and the uninsured are lucky to get what they can. From the wooden (!) pegleg and hook hand of antiquity to the unpowered metal and plastic hybrids of a century ago, these prosthetics all offer extremely limited results for an extremely limited price. In the case of hands/arms, the user is considered to have a limit/Accuracy of 1 with any use of the limb. In the case of feet/legs, the user is considered to have a walking speed half of normal and has their run multiplier reduced by one. Primitive skulls and torsos don’t exist. Poor slots.",NULL,SR5:CF,1,0,0,,
204,Agility,3,1,Cyberware,"Limb Enhancement",-,[Rating],"(Rating x 3)R","Rating x 6,500¥","Cyberlimb enhancements use up to the Capacity of the cyberlimb they enhance. There are three types of enhancement: Agility, Armor, and Strength. Physical attribute enhancements add their Rating to the appropriate attribute of the limb. Armor enhancements provide an Armor bonus equal to their rating, cumulative with other armor, without adding to Encumbrance. Each limb can have only one enhancement of each type (you cannot stack two Strength 3 enhancements in the same cyberarm), but you can replace one you have with one you want.",NULL,Core,0,0,1,Agility:[Rating],
205,Armor,3,1,Cyberware,"Limb Enhancement",-,[Rating],"Rating x 5","Rating x 3,000¥","Cyberlimb enhancements use up to the Capacity of the cyberlimb they enhance. There are three types of enhancement: Agility, Armor, and Strength. Physical attribute enhancements add their Rating to the appropriate attribute of the limb. Armor enhancements provide an Armor bonus equal to their rating, cumulative with other armor, without adding to Encumbrance. Each limb can have only one enhancement of each type (you cannot stack two Strength 3 enhancements in the same cyberarm), but you can replace one you have with one you want.",NULL,Core,0,0,1,Armor:[Rating],
206,Strength,3,1,Cyberware,"Limb Enhancement",-,[Rating],"(Rating x 3)R","Rating x 6,500¥","Cyberlimb enhancements use up to the Capacity of the cyberlimb they enhance. There are three types of enhancement: Agility, Armor, and Strength. Physical attribute enhancements add their Rating to the appropriate attribute of the limb. Armor enhancements provide an Armor bonus equal to their rating, cumulative with other armor, without adding to Encumbrance. Each limb can have only one enhancement of each type (you cannot stack two Strength 3 enhancements in the same cyberarm), but you can replace one you have with one you want.",NULL,Core,0,0,1,Strength:[Rating],
207,"Cyberarm Gyromount",1,1,Cyberware,"Limb Accessories",-,[8],12F,"6,000¥","This accessory must be installed in a full or partial cyberarm. When activated, counterweights pop out of your wrist and a small gyro spins up to provide you with better balance and reduced recoil for improving firing capability. Meanwhile, small children stare at you. The effects are identical to a gyro stabilization system (p. 432), only with Rating 3 (this effect is not cumulative with a worn gyro stabilization system). Activating or deactivating the system is a Simple Action.",NULL,Core,0,0,1,,
208,"Cyberarm Slide",1,1,Cyberware,"Limb Accessories",-,[3],12R,"3,000¥","An integral version of the hidden arm-slide, the cyberarm slide hides a hold-out, taser, or light pistol inside your cyberarm, concealing it from normal vision. As a Free Action, you can ready the weapon in the slide.",NULL,Core,0,0,1,,
209,"Cyber Holster",1,1,Cyberware,"Limb Accessories",-,[5],8R,"2,000¥","You can hold a taser or any pistol or smaller-sized weapon within the holster, completely enclosed until you activate it. Inserting or retrieving a weapon takes one Simple Action. A cyber holster can also be used as a smuggling compartment to store items no larger than a pistol (the gamemaster has final discretion).",NULL,Core,0,0,1,,
210,"Hydraulic Jacks",6,1,Cyberware,"Limb Accessories",-,[Rating],9,"Rating x 2,500¥","This implant requires you to have two cyberlegs with a hydraulic jack of identical Ratings in each leg. Each Rating point adds a +1 to your Physical limit for jumping and sprinting, adds twenty percent to your maximum jump distance, and reduces your falling distance by two meters for the purpose of calculating falling damage.",NULL,Core,0,0,1,PhysicalLimit:[Rating],
211,"Large Smuggling Compartment",1,1,Cyberware,"Limb Accessories",-,[5],6,"8,000¥","This is a larger version of the smuggling compartment (p. 455). It can hold something the size of a heavy pistol or a small SMG (gamemasterâ€™s discretionâ€”think breadbox size as a guide). Getting something out of or putting something into it takes a Complex Action.",NULL,Core,0,0,1,,
212,"Built-In Medkit",1,1,Cyberware,"Limb Accessories",0.45,[10],8,"medkit + 1,000¥","Built directly into a partial or full cyberlimb, this is simply a standard medical kit filled with useful surgical implements, micro-manipulators, and a digital nurse to help with diagnosis and treatment. More expensive kits are, of course, more robust. The listing for this item is simply for the compartment and parts to hold the medkit; the medkit must be purchased separately. The medkit then may be refilled as their non-cyber counterparts for the same price.",NULL,SR5:CF,1,0,1,,
213,"Built-In Toolkit",1,1,Cyberware,"Limb Accessories",0.45,[10],4,"2,000¥","Dozens of kits exist, each featuring a full tool kit (Armorer, Auto Mechanics, etc.) that can be built directly into a partial or full cyberlimb. Each kit features rotating drillbits, clamps, computerized guides, and so forth, for the task at hand.",NULL,SR5:CF,1,0,1,,
214,"Bulk Modification",6,1,Cyberware,"Limb Accessories",-,"+ (Rating)",+(Rating),"Rating x 500¥","Most cyberlimbs are designed to be relatively lifelike— extremely so in the case of synthetic limbs, but there are those who wear their chrome loud and proud, and for them, the bulk modification is a gift from above. While only available for obvious cyberlimbs, the bulk modification trades sneakiness for greater volume, and with greater volume comes more upgrade capabilities.",NULL,SR5:CF,0,0,0,,
215,Cyberfingers,1,1,Cyberware,"Limb Accessories",0.05,[1],2,500¥,"Sometimes, you don’t need an entire hand; other times, you want to add a few tricks to the cyberhand you already have. Regardless, individual finger upgrades are available that add functionality to your digits.",NULL,SR5:CF,1,0,1,,
216,Cyberlight,1,1,Cyberware,"Limb Accessories",0.05,[1],4,550¥,"A simple small flashlight.",NULL,SR5:CF,1,0,1,,
217,Cyberlighter,1,1,Cyberware,"Limb Accessories",0.05,[1],4,550¥,"Good for lighting cigarettes … or fuses.",NULL,SR5:CF,1,0,1,,
218,"Finger Grenade",1,1,Cyberware,"Limb Accessories",0.05,[1],"(Grenade) +4","Grenade + 500¥","Nothing says “Frag you!” like giving someone the finger. And now you can frag them too! Finger grenades inflict damage as if a grenade of the listed type, but their power is reduced by 2. Obviously, the finger must be replaced after each use, and actions using the hand with the missing finger receive a –1 penalty to the Physical limit.",NULL,SR5:CF,1,0,1,,
219,"Finger Pistol",1,1,Cyberware,"Limb Accessories",0.05,[1],8R,"1,000¥","The ultimate in one-shot hold-out pistols. The finger pistol uses ordinary cybergun hold-out rules, aside from being a single-shot and having an Accuracy of 3(5).",NULL,SR5:CF,1,0,1,,
220,"Cyberlimb Optimization",1,1,Cyberware,"Limb Accessories",-,[2],"(Limb) +2","Limb + 2,000¥","For decades, cyberlimbs have been modified and analyzed, producing results that are greater in one area at a small cost in other areas, a general tradeoff that’s been largely accepted in the name of efficiency. Primarily, this market is in the fields of sports or entertainment, but new arenas are always being explored. In each case, this requires a full cyberlimb dedicated to the cause, and they’re usually intended to be taken in pairs for maximum result. As you might imagine, a limb may only be optimized in one way. Optimized limbs raise the user’s applicable limit by +1 for each limb optimized in that skill. For each pair of limbs optimized for the skill, the user gains +1 to their applicable skill dice pool as well. While the list below showcases several examples, it is by no means exhaustive, and gamemasters are encouraged to come up with several of their own.",NULL,SR5:CF,0,0,1,,
221,"Digigrade Legs",1,1,Cyberware,"Limb Accessories","(Leg) + 0.25",[4],"(Leg) +4","Leg + 5,000¥","Best known in the shadows as Kid Stealth legs, these legs “bend the wrong way” in many eyes. The leg itself is actually constructed with normal hip and knee placements, but the foot is extremely elongated, with the weight fully on the ball of the foot and the ankle perceived by many as a second knee. While generally constructed with dimensions analogous to a dog or cat’s legs, taken to the extreme, they resemble the legs of birds and often feature raptor feet (see below). Digigrade may be taken as a modification for full or partial cyberlegs but not for feet, and they provide no bonus unless taken in pairs. The user’s Physical limit for the Stealth skill group is increased by 1 per leg, while the running speed multiplier is increased by 1 for each pair.",NULL,SR5:CF,1,0,1,,
222,"Grapple Hand",1,1,Cyberware,"Limb Accessories",0.45,[10],12R,"2,000¥","A modification to a cyberarm (either partial or full) that consists of a winch, a feed system capable of loading up to thirty meters of wire, and a pneumatic launcher that can fire the cyberhand up to the full range of the wire, which also serves as a command path to let the hand grab hold of a distant target. Once a firm grip is secured, the winch can pull them toward the hand at a rate of ten meters per Combat Turn, or half that silently. Should a grip not be made, it can rewind the hand at a rate of twenty-five meters per turn, or ten meters silently. It takes one minute for the air compressor to ready the hand for another shot. Use Exotic Ranged Weapon (Grapple Gun) for targeting with the launched hand.",NULL,SR5:CF,1,0,1,,
223,"Improved Synthskin",4,1,Cyberware,"Limb Accessories",-,"[Rating x 2]","Rating x 4","Rating x 5,000¥","Advances in lifelike drones have also been adapted to core synthetic cyberlimb technology. Where once flesh was passable for viewing but betrayed by a touch, the more advanced synthskin of today is giving, warm to the touch, and more expensive blends sweat or even bleed when pricked. It’s like real, only better! Where normal synthetic limbs may be detected automatically by touch, those coated in improved synthskin require a Perception Test to be detected, requiring two hits, plus one more for each Rating. Cyberware scanners are as effective as normal, however.",NULL,SR5:CF,0,0,1,,
224,"Liminal Body (Centaur)",1,1,Cyberware,"Limb Accessories",3,80,12,"80,000¥","One of the more recent cyber-mods, the liminal body. The one that started it all, the user’s lower half is replaced by a cybernetic steed. Four-legged and swift, but large and heavy. The user’s running speed is doubled, and their ability to drag or carry weight is also doubled. The cyberlegs may each be modified as normal, but remember to average all four!",NULL,SR5:CF,1,1,0,,
225,"Liminal Body (Wheeled)",1,1,Cyberware,"Limb Accessories",2.5,40,8,"40,000¥","One of the more recent cyber-mods, the liminal body is an extensive restructuring of the lower abdominal region of the user, often requiring some delicate re-working of digestive systems and waste removal, as well as the loss of genitalia, in exchange for a lower body replacement. The more exotic the modification, the more work needs to be done. Some of the more popular options are shown below, but gamemasters are encouraged to develop their own as well. A four-wheeled device roughly the size of a wheelchair, the user’s running speed is doubled, but difficult terrain is especially troublesome.",NULL,SR5:CF,1,1,0,,
226,"Liminal Body (Tank)",1,1,Cyberware,"Limb Accessories",3,60,12R,"50,000¥","One of the more recent cyber-mods, the liminal body is an extensive restructuring of the lower abdominal region of the user, often requiring some delicate re-working of digestive systems and waste removal, as well as the loss of genitalia, in exchange for a lower body replacement. The more exotic the modification, the more work needs to be done. Some of the more popular options are shown below, but gamemasters are encouraged to develop their own as well. Similar to the Wheeled Warrior, the Tank! design uses treads, rather than wheels, trading speed for maneuverability. The user’s walking speed is unchanged, but any difficult terrain other than mud is a breeze. The treads tend to tear up whatever surface they drive over, however, making the user less than welcome in certain elegant establishments.",NULL,SR5:CF,1,1,0,,
228,"Modular Connector (Wrist/Ankle)",1,1,Cyberware,"Limb Accessories",0.1,[5],4,"2,000¥","A wide variety of modular cyberlimbs and modular cyberlimb accessories exist. The basic form is a simple switch-out ring that allows the user to easily remove part of a limb, most commonly a wrist that allows a hand’s removal, leaving a port where the removed limb can be replaced with some kind of tool. While most users keep it simple, having a normal cyberhand and a single tool that they switch between, others keep a stunning array of cyberlimbs stored in their home, allowing them to slip a new one on as easily as ordinary people change shoes.","Removing a modular part is a Free Action instead of a Simple Action. Attaching a new modular part is always a Simple Action.",SR5:CF,1,0,1,,
229,"Modular Connector (Elbow/Knee)",1,1,Cyberware,"Limb Accessories",0.2,[10],8,"4,000¥","A wide variety of modular cyberlimbs and modular cyberlimb accessories exist. The basic form is a simple switch-out ring that allows the user to easily remove part of a limb, most commonly a wrist that allows a hand’s removal, leaving a port where the removed limb can be replaced with some kind of tool. While most users keep it simple, having a normal cyberhand and a single tool that they switch between, others keep a stunning array of cyberlimbs stored in their home, allowing them to slip a new one on as easily as ordinary people change shoes.","Removing a modular part is a Free Action instead of a Simple Action. Attaching a new modular part is always a Simple Action.",SR5:CF,1,0,1,,
230,"Modular Connector (Shoulder/Hip)",1,1,Cyberware,"Limb Accessories",0.3,-,12,"6,000¥","A wide variety of modular cyberlimbs and modular cyberlimb accessories exist. The basic form is a simple switch-out ring that allows the user to easily remove part of a limb, most commonly a wrist that allows a hand’s removal, leaving a port where the removed limb can be replaced with some kind of tool. While most users keep it simple, having a normal cyberhand and a single tool that they switch between, others keep a stunning array of cyberlimbs stored in their home, allowing them to slip a new one on as easily as ordinary people change shoes.","Removing a modular part is a Free Action instead of a Simple Action. Attaching a new modular part is always a Simple Action.",SR5:CF,1,0,0,,
231,"Modular Limb (Hand/Foot)",1,1,Cyberware,"Limb Accessories",0.25,"(Limb) -1","(Limb) +2","(Limb) + 1,000¥","Any cyberlimb may be purchased with a modular connector, allowing it to be connected to another modular connector. This allows the user to have several limbs, such as a synthetic arm for casual life and a tricked-out chrome arm for business, several optimized limbs for different occasions, and so on. Some simply choose to purchase multiple modular limbs, just in case they lose one!",NULL,SR5:CF,1,0,0,,
232,"Modular Limb (Partial Arm/Leg)",1,1,Cyberware,"Limb Accessories",0.45,"(Limb) -2","(Limb) +2","(Limb) + 2,000¥","Any cyberlimb may be purchased with a modular connector, allowing it to be connected to another modular connector. This allows the user to have several limbs, such as a synthetic arm for casual life and a tricked-out chrome arm for business, several optimized limbs for different occasions, and so on. Some simply choose to purchase multiple modular limbs, just in case they lose one!",NULL,SR5:CF,1,0,0,,
